Root ಬಗಎ not at position 0, of wordform ಅಡಿಯ, normalized ಅಡಇಯ, af: ['ಬಗೆ', 'n', '', 'sg', '3', 'o', 'ಎಯ್+ಅ', 'eVy+a']
Morpheme ಗಳಉ not at position 11, of wordform ಅತ್ಯುಪಯುಕ್ತ, normalized ಅತ್ಯಉಪಯಉಕ್ತ, af: ['ಅತ್ಯುಪಯುಕ್ತ', 'adj', '', '', '', 'o', 'ಗಳು', 'galYu']
Morpheme kkeV not at position 2, of wordform ಅದಕ್ಕೆ, normalized ಅದಕ್ಕಎ, af: ['ಅದು', 'pn', 'n', 'sg', '3', '', 'kkeV', 'ಕ್ಕೆ']
Root ಆದರಎ not at position 0, of wordform ಅದ್ದರಿಂದ, normalized ಅದ್ದರಇಂದ, af: ['ಆದರೆ', 'avy', '', '', '', 'o', 'ಅರ್+ಇ+ಇಂದ', 'ar+i+iMxa']
Root ಹಆಸನ not at position 0, of wordform ಅನಾರೋಗ್ಯದಿಂದ, normalized ಅನಆರಓಗ್ಯದಇಂದ, af: ['ಹಾಸನ', 'n', '', 'sg', '3', 'o', 'ಅದ್+ಇ+ಇಂದ', 'ax+i+iMxa']
Morpheme ಒಡನಎ not at position 5, of wordform ಅರ್ಜಿಯ, normalized ಅರ್ಜಇಯ, af: ['ಅರ್ಜಿ', 'n', '', 'sg', '3', 'o', 'ಒಡನೆ', 'oVdaneV']
Root ಆಡಳಇತ not at position 0, of wordform ಅರ್ಥದ, normalized ಅರ್ಥದ, af: ['ಆಡಳಿತ', 'n', '', 'sg', '3', 'o', 'ಅದ್+ಅ', 'ax+a']
Morpheme ದ್ not at position 4, of wordform ಅಲ್ವೆ, normalized ಅಲ್ವಎ, af: ['ಅಲ್ವೆ', 'v', '', '', '', '', 'ಉವ್+ದ್+ಉ', 'uv+x+u']
Morpheme ಗಳಉ not at position 9, of wordform ಅವರ್ಣನೀಯ, normalized ಅವರ್ಣನಇೕಯ, af: ['ಅವರ್ಣನೀಯ', 'adj', '', 'sg', '3', '', 'ಗಳು', 'galYu']
Morpheme ಏಯ್ not at position 6, of wordform ಅವಿತಿದೆಯೋ, normalized ಅವಇತಇದಎಯಓ, af: ['ಅವಿತಿರು', 'v', '', 'sg', '3', '', 'ಇರು+ದ್+ಏಯ್+ಒ', 'iru+x+ey+oV']
Morpheme ದ್ not at position 3, of wordform ಅಸಾಧಾರಣ, normalized ಅಸಆಧಆರಣ, af: ['ಅಸಾಧಾರಣ', 'adj', '', '', '', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
Morpheme ಅಲ್ಲಇ not at position 8, of wordform ಆಕರ್ಷಣೆಯ, normalized ಆಕರ್ಷಣಎಯ, af: ['ಆಕರ್ಷಣೆ', 'n', '', 'sg', '3', 'o', 'ಇಯ್+ಅ+ಅಲ್ಲಿ', 'iy+a+alli']
Root ಸಔಲಭ್ಯ not at position 0, of wordform ಆಗಿ, normalized ಆಗಇ, af: ['ಸೌಲಭ್ಯ', 'v', '', 'pl', '3', 'o', 'ಗಳು+ಇ+ಇಗ್+ಎ+ಆಗು+ಇ', 'galYu+i+ig+eV+Agu+i']
Morpheme ರಉ not at position 3, of wordform ಆಗಿದೆ, normalized ಆಗಇದಎ, af: ['ಆಗು', 'v', '', 'sg', '3', '', 'ಇ+ರು+ದ್+ಎ', 'i+iru+x+eV']
Morpheme ಉತ್ತ್ not at position 3, of wordform ಆಗಿದೆ, normalized ಆಗಇದಎ, af: ['ಆಗು', 'v', '', 'sg', '3', '', 'ಇರು+ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'iru+uww+a+ax+eV']
Morpheme ಇರಉ not at position 3, of wordform ಆಗುತ್ತದೆ, normalized ಆಗಉತ್ತದಎ, af: ['ಆಗು', 'v', '', 'sg', '3', '', 'ಇರು+ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'iru+uww+a+ax+eV']
Morpheme ಓದ್ not at position 2, of wordform ಆಗೊದಿಲ್ವೆ, normalized ಆಗಒದಇಲ್ವಎ, af: ['ಆಗು', 'v', '', 'sg', '3', '', 'ಓ+ಓದ್+ಇ+ಇಲ್+ವ್+ಎ', 'o+ox+i+ill+v+eV']
Morpheme ಬಯಸಉ not at position 6, of wordform ಆಚರಿಸುವವರಿಗೆ, normalized ಆಚರಇಸಉವವರಇಗಎ, af: ['ಆಚರಿಸು', 'v', '', 'sg', '3', 'o', 'ಅ+ಬಯಸು+ಉವ್+ಅ+ಅವರು+ಇ+ಇಗೆ', 'a+bayasu+uv+avaru+i+igeV']
Morpheme ಇರಉ not at position 1, of wordform ಆದ, normalized ಆದ, af: ['ಆವರಿಸು', 'v', '', 'sg', '3', '', 'ಇ+ಇರು+ದ್+ಅ', 'i+iru+x+a']
Root ನಇರ್ಮಆಣ not at position 0, of wordform ಆದ, normalized ಆದ, af: ['ನಿರ್ಮಾಣ', 'v', '', 'sg', '3', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
Root ಅವ್ not at position 0, of wordform ಆದ, normalized ಆದ, af: ['ನಿರ್ಮಾಣ', 'v', '', 'sg', '3', 'o', 'ಅವ್+ಆ+ಆಗು+ದ್+ಅ', 'av+A+Agu+x+a']
Root ಅಗಉ not at position 0, of wordform ಆದನು, normalized ಆದನಉ, af: ['ಅಗು', 'v', '', 'sg', '3', '', 'ದ್+ಅ+ಅನ್+ಉ', 'x+a+an+u']
Morpheme ಇರಉ not at position 7, of wordform ಆದುದಾಗುತ್ತದೆ, normalized ಆದಉದಆಗಉತ್ತದಎ, af: ['ಆದುದಾಗು', 'v', '', 'sg', '3', '', 'ಇರು+ಉತ್ತ್+ಅ+ಅದ್+ಎ', 'iru+uww+a+ax+eV']
Root ಸಮಆನ not at position 0, of wordform ಆದುದು, normalized ಆದಉದಉ, af: ['ಸಮಾನ', 'v', '', '', '', 'd', 'ಅವ್+ಆ+ಆಗು+ದ್+ಉ+ಉದ್+ಉ', 'av+A+Agu+x+u+ux+u']
Root ಅವ್ not at position 0, of wordform ಆದುದು, normalized ಆದಉದಉ, af: ['ಸಮಾನ', 'v', '', '', '', 'd', 'ಅವ್+ಆ+ಆಗು+ದ್+ಉ+ಉದ್+ಉ', 'av+A+Agu+x+u+ux+u']
Morpheme galYu not at position 4, of wordform ಆಮದುಗಳನ್ನು, normalized ಆಮದಉಗಳನ್ನಉ, af: ['ಆಮದು', 'n', '', 'pl', '3', 'o', 'galYu+a+ಅನ್ನು', 'galYu+a+annu']
Morpheme ಅನ್ನಉ not at position 9, of wordform ಇತ್ಯಾದಿಗಳಲ್ಲಿ, normalized ಇತ್ಯಆದಇಗಳಲ್ಲಇ, af: ['ಇತ್ಯಾದಿ', 'avy', '', 'sg', '3', 'o', 'ಗಳು+ಅ+ಅನ್ನು', 'galYu+a+annu']
Morpheme ಅಲ್ಲಇ not at position 2, of wordform ಇದನ್ನು, normalized ಇದನ್ನಉ, af: ['ಇದು', 'pn', 'n', 'sg', '3', 'o', 'ಅದ್+ಅ+ಅಲ್ಲಿ', 'ax+a+alli']
Morpheme ಅವ್ not at position 2, of wordform ಇದನ್ನು, normalized ಇದನ್ನಉ, af: ['ಇದು', 'pn', 'n', 'sg', '3', 'o', 'ಅವ್+ಅ+ಅನ್ನು', 'av+a+annu']
Morpheme ಅವ್ not at position 6, of wordform ಇದರಿಂದಾಗಿ, normalized ಇದರಇಂದಆಗಇ, af: ['ಇದರಿಂದ', 'avy', '', '', '', 'o', 'ಅವ್+ಆ+ಆಗು+ಇ', 'av+A+Agu+i']
Root ಚಇನ್ನ not at position 0, of wordform ಇರುವ, normalized ಇರಉವ, af: ['ಚಿನ್ನ', 'v', '', 'sg', '3', '', 'ದ್+ಅ+ಅಂತೆ+ಇ+ಇರು+ಉವ್+ಅ', 'x+a+aMweV+i+iru+uv+a']
Root ದ್ not at position 0, of wordform ಇರುವ, normalized ಇರಉವ, af: ['ಚಿನ್ನ', 'v', '', 'sg', '3', '', 'ದ್+ಅ+ಅಂತೆ+ಇ+ಇರು+ಉವ್+ಅ', 'x+a+aMweV+i+iru+uv+a']
